face,key,count
total,real_runs,110
total,synthetic_records,560
total,scenarios,624
total,aqs_runs,109
total,low_confidence_runs,99
campaign_id,unlabeled,27
campaign_id,m3-expansion-wave0,20
campaign_id,t39-rehearsal-nr-20260803,16
campaign_id,m2-pilot-20260731,12
campaign_id,acceptance_20260820,10
campaign_id,m2-afternoonradio-20260801,4
campaign_id,m2-busyradio-20260801,4
campaign_id,m2-idlenight-20260801,4
campaign_id,m2-idleprobe-20260731,4
campaign_id,m2-pilot-forensic-20260731,4
campaign_id,warmup-transport-probe,4
campaign_id,radiowire-verify-20260801,1
point_id,SZ-PILOT-01,57
point_id,unlabeled,27
point_id,PENDING-PO-01,16
point_id,home_indoor,10
carrier,ctcc,83
carrier,unknown,27
time_band,busy,43
time_band,idle,40
time_band,unknown,27
rat_scenarios,NR,268
rat_scenarios,no_radio_block,245
rat_scenarios,LTE,111
validity_scenarios,valid_low_confidence,586
validity_scenarios,valid,32
validity_scenarios,degraded,4
validity_scenarios,invalid,2
